# DL_YM,DL_GD_LCLS_NM,DL_GD_LCLS_CD,DL_GD_MCLS_NM,DL_GD_MCLS_CD,DL_GD_SCLS_NM,DL_GD_SCLS_CD,GD_LCLS_NM,GD_LCLS_CD,GD_MCLS_NM,GD_MCLS_CD,GD_SCLS_NM,GD_SCLS_CD,CTPV_NM,CTPV_CD,CTGG_NM,CTGG_CD,EMD_NM,EMD_CD,INVC_CONT
201904,가구/인테리어,1001,주방가구,10011010,식탁/의자,1.0011E+11,가구 및 홈데코,56,가정용 가구,5601,실내용 가구,560101,서울특별시,11,종로구,11110,부암동,1111018400,2
201904,가구/인테리어,1001,주방가구,10011010,식탁/의자,1.0011E+11,가구 및 홈데코,56,가정용 가구,5601,실내용 가구,560101,서울특별시,11,종로구,11110,공평동,1111012700,1
201904,가구/인테리어,1001,주방가구,10011010,식탁/의자,1.0011E+11,가구 및 홈데코,56,가정용 가구,5601,실내용 가구,560101,서울특별시,11,금천구,11545,가산동,1154510100,58
201904,디지털/가전,1003,주방가전,10031012,주방가전기타,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,주방용 가전기기,520101,서울특별시,11,종로구,11110,부암동,1111018400,10
201904,디지털/가전,1003,주방가전,10031012,주방가전기타,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,주방용 가전기기,520101,서울특별시,11,종로구,11110,묘동,1111015100,3
201904,디지털/가전,1003,주방가전,10031012,주방가전기타,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,주방용 가전기기,520101,서울특별시,11,종로구,11110,공평동,1111012700,3
201904,생활건강,1004,주방용품,10041020,식기,1.0041E+11,가정용품 및 가전제품,52,주방용품,5204,음식수납용기,520402,서울특별시,11,종로구,11110,공평동,1111012700,6
201904,디지털/가전,1003,주방가전,10031012,주방가전기타,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,주방용 가전기기,520101,서울특별시,11,금천구,11545,가산동,1154510100,179
201904,디지털/가전,1003,카메라/캠코더,10031013,카메라용품기타/캠코더용품기타,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,카메라/캠코더 및 액세서리,520203,서울특별시,11,금천구,11545,가산동,1154510100,129
201904,생활건강,1004,주방용품,10041020,식기,1.0041E+11,가정용품 및 가전제품,52,주방용품,5204,음식수납용기,520402,서울특별시,11,종로구,11110,묘동,1111015100,4
201904,디지털/가전,1003,주방가전,10031012,전기쿠커,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,주방용 가전기기,520101,서울특별시,11,금천구,11545,가산동,1154510100,2
201904,디지털/가전,1003,카메라/캠코더,10031013,카메라용품기타/캠코더용품기타,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,카메라/캠코더 및 액세서리,520203,서울특별시,11,종로구,11110,구기동,1111018200,1
201904,생활건강,1004,주방용품,10041020,식기,1.0041E+11,가정용품 및 가전제품,52,주방용품,5204,음식수납용기,520402,서울특별시,11,종로구,11110,구기동,1111018200,34
201904,디지털/가전,1003,카메라/캠코더,10031013,카메라용품기타/캠코더용품기타,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,카메라/캠코더 및 액세서리,520203,서울특별시,11,종로구,11110,묘동,1111015100,1
201904,생활건강,1004,자동차용품,10041018,자동차익스테리어용품,1.0041E+11,자동차 및 이륜차,25,자동차부품,2502,기타 자동차 용품 및 액세서리,250203,서울특별시,11,종로구,11110,구기동,1111018200,5
201904,디지털/가전,1003,영상가전,10031007,프로젝터주변기기,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,영상기기 및 액세서리,520202,서울특별시,11,금천구,11545,가산동,1154510100,6
201904,생활건강,1004,자동차용품,10041018,자동차익스테리어용품,1.0041E+11,자동차 및 이륜차,25,자동차부품,2502,기타 자동차 용품 및 액세서리,250203,서울특별시,11,금천구,11545,가산동,1154510100,127
201904,식품,1006,가공식품,10061001,라면,1.0061E+11,식음료품 및 담배,50,가공식품,5006,파스타/면류,500604,서울특별시,11,종로구,11110,묘동,1111015100,17
201904,디지털/가전,1003,카메라/캠코더,10031013,즉석카메라,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,카메라/캠코더 및 액세서리,520203,서울특별시,11,금천구,11545,가산동,1154510100,41
201904,디지털/가전,1003,디지털/가전기타,10039999,디지털/가전기타,1.004E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,디지털 가전 기기 기타,520204,서울특별시,11,종로구,11110,공평동,1111012700,50
201904,식품,1006,가공식품,10061001,라면,1.0061E+11,식음료품 및 담배,50,가공식품,5006,파스타/면류,500604,서울특별시,11,금천구,11545,가산동,1154510100,571
201904,디지털/가전,1003,카메라/캠코더,10031013,즉석카메라,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,카메라/캠코더 및 액세서리,520203,서울특별시,11,종로구,11110,구기동,1111018200,4
201904,디지털/가전,1003,카메라/캠코더,10031013,카메라필름/카메라관련용품,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,카메라/캠코더 및 액세서리,520203,서울특별시,11,금천구,11545,가산동,1154510100,8
201904,식품,1006,냉장식품,10061005,수산냉장식품,1.0061E+11,식음료품 및 담배,50,수산물,5002,수산동물류,500201,서울특별시,11,금천구,11545,가산동,1154510100,54
201904,디지털/가전,1003,디지털/가전기타,10039999,디지털/가전기타,1.004E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,디지털 가전 기기 기타,520204,서울특별시,11,종로구,11110,부암동,1111018400,79
201904,식품,1006,가공식품,10061001,라면,1.0061E+11,식음료품 및 담배,50,가공식품,5006,파스타/면류,500604,서울특별시,11,종로구,11110,공평동,1111012700,14
201904,식품,1006,김치,10061004,일반김치,1.0061E+11,식음료품 및 담배,50,김치 및 향신료,5005,김치,500501,서울특별시,11,금천구,11545,가산동,1154510100,301
201904,디지털/가전,1003,계절가전,10031002,공기정화기,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,기타 가전기기 및 제품,520104,서울특별시,11,종로구,11110,구기동,1111018200,48
201904,식품,1006,김치,10061004,일반김치,1.0061E+11,식음료품 및 담배,50,김치 및 향신료,5005,김치,500501,서울특별시,11,종로구,11110,구기동,1111018200,89
201904,디지털/가전,1003,계절가전,10031002,공기정화기,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,기타 가전기기 및 제품,520104,서울특별시,11,종로구,11110,부암동,1111018400,20
201904,식품,1006,김치,10061004,일반김치,1.0061E+11,식음료품 및 담배,50,김치 및 향신료,5005,김치,500501,서울특별시,11,종로구,11110,부암동,1111018400,44
201904,가구/인테리어,1001,아동가구/주니어가구,10011007,아동가구/주니어가구,1.0011E+11,가구 및 홈데코,56,가정용 가구,5601,실내용 가구,560101,서울특별시,11,종로구,11110,공평동,1111012700,4
201904,가구/인테리어,1001,아동가구/주니어가구,10011007,아동가구/주니어가구,1.0011E+11,가구 및 홈데코,56,가정용 가구,5601,실내용 가구,560101,서울특별시,11,종로구,11110,부암동,1111018400,4
201904,식품,1006,농산물,10061006,잡곡/혼합곡,1.0061E+11,식음료품 및 담배,50,농산물,5001,곡물 및 두류,500102,서울특별시,11,종로구,11110,부암동,1111018400,14
201904,디지털/가전,1003,학습기기,10031016,학습기기,1.0031E+11,교육/게임/예술,60,자기계발/교육/교재,6001,교육 교재,600101,서울특별시,11,종로구,11110,구기동,1111018200,2
201904,디지털/가전,1003,계절가전,10031002,냉풍기,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,기타 가전기기 및 제품,520104,서울특별시,11,종로구,11110,부암동,1111018400,2
201904,가구/인테리어,1001,침실가구,10011011,화장대,1.0011E+11,가구 및 홈데코,56,가정용 가구,5601,실내용 가구,560101,서울특별시,11,금천구,11545,가산동,1154510100,60
201904,식품,1006,농산물,10061006,잡곡/혼합곡,1.0061E+11,식음료품 및 담배,50,농산물,5001,곡물 및 두류,500102,서울특별시,11,종로구,11110,묘동,1111015100,2
